query_id,query_type,question,answer,insufficient,confidence,citation_chunk_ids,final_evidence_chunk_ids,citation_contract_valid,citations_within_final_evidence,human_correct,human_complete,human_faithful,human_citations_adequate,human_clear,human_notes
P011,terminology_mismatch,"Trong kỳ đi thực tập, phần điểm do công ty chấm phải chiếm ít nhất bao nhiêu phần trăm?",Phần điểm do doanh nghiệp đánh giá phải chiếm tối thiểu 30%.,False,high,"[""ccv0:c2ef511bad34:p2:o42:d5793d1d52074321""]","[""ccv0:c2ef511bad34:p2:o42:d5793d1d52074321""]",True,True,,,,,,
P012,terminology_mismatch,Bị treo điểm K hay điểm P thì có còn được xét học bổng năm học không?,"- Điểm K: Sinh viên sẽ không được xét học bổng năm học trong năm học xét học bổng.
- Điểm P: Điểm P không tính vào tín chỉ tích lũy, điểm trung bình và vẫn được tham gia xét học bổng năm học (trừ năm cuối).",False,high,"[""ccv0:457e13e9798d:p19:o1603:ca7419cc4f32e78c"", ""ccv0:71751eb4fa8c:p16:o1191:f4fb0e98f0e6bbd7"", ""ccv0:72996278ee10:p14:o1370:f4fb0e98f0e6bbd7"", ""ccv0:71751eb4fa8c:p17:o624:f40e62b4c7fd34e5"", ""ccv0:71751eb4fa8c:p16:o1363:2c83c1640e9e21fe""]","[""ccv0:457e13e9798d:p19:o1603:ca7419cc4f32e78c"", ""ccv0:71751eb4fa8c:p16:o1191:f4fb0e98f0e6bbd7"", ""ccv0:72996278ee10:p14:o1370:f4fb0e98f0e6bbd7"", ""ccv0:71751eb4fa8c:p17:o624:f40e62b4c7fd34e5"", ""ccv0:71751eb4fa8c:p16:o1363:2c83c1640e9e21fe""]",True,True,,,,,,
P013,terminology_mismatch,Có sẵn bằng MOS lúc nhập học thì em được bỏ qua môn Cơ sở tin học luôn không?,"Có thể được miễn môn Cơ sở tin học khi có MOS quốc tế (Word/Excel/PowerPoint) thỏa điều kiện của Trường để xét miễn chứng chỉ MOS. Ngoài ra, nếu sinh viên có điểm thi Cơ sở tin học trên 5,0 điểm cũng được miễn học và được xét đạt chuẩn đầu ra học phần (MOS) tương ứng.",False,high,"[""ccv0:bf2483e2f33f:p3:o445:c2588ac9f6500270"", ""ccv0:bf2483e2f33f:p3:o372:b6b62ca7ca53cc99"", ""ccv0:bf2483e2f33f:p2-3:o2471:d148ad9c2e543ecd""]","[""ccv0:bf2483e2f33f:p3:o445:c2588ac9f6500270"", ""ccv0:bf2483e2f33f:p3:o372:b6b62ca7ca53cc99"", ""ccv0:bf2483e2f33f:p2-3:o2471:d148ad9c2e543ecd"", ""ccv0:bf2483e2f33f:p1-2:o1588:4d8076ab0a63481d""]",True,True,,,,,,
P014,multi_evidence,"Thí sinh chưa có tiếng Anh B1 quốc tế phải làm gì để đủ điều kiện đầu vào, và trường chấp nhận những chứng chỉ quốc tế nào?",Nếu thí sinh chưa có tiếng Anh B1 quốc tế: phải đạt trình độ tiếng Anh B1 quốc tế hoặc có chứng chỉ tiếng Anh quốc tế tương đương IELTS 5.0 để đủ điều kiện đầu vào; nếu chưa đạt trình độ B1 quốc tế (tương đương IELTS > 5.0) thì phải dự thi Bài thi đánh giá năng lực tiếng Anh đầu vào để được xác nhận đủ điều kiện tiếng Anh theo học chương trình (trừ ngành Ngôn ngữ Anh). Trường chấp nhận các chứng chỉ tiếng Anh quốc tế tương đương IELTS 5.0.,False,high,"[""ccv0:f0d5cdc987b9:p1:o1987:5052f4be6985679e""]","[""ccv0:f0d5cdc987b9:p1:o1987:5052f4be6985679e"", ""ccv0:495026b3bab3:p24:o467:590fdef8cc414ddd"", ""ccv0:71751eb4fa8c:p20:o1672:d8917ae3a5283561"", ""ccv0:72996278ee10:p19:o744:773717dc59afbccb""]",True,True,,,,,,
P015,multi_evidence,Điều kiện nhận thư khen của Hiệu trưởng khác điều kiện nhận thư khen của lãnh đạo Khoa như thế nào?,"Điều kiện nhận thư khen của Hiệu trưởng được nêu rõ cho sinh viên năm thứ nhất (ví dụ: đủ số môn học theo khung, điểm trung bình tích lũy từ 7.0 trở lên, không có môn dưới 5.0, không bị xử lý kỷ luật, điểm rèn luyện từ 65 trở lên, hoàn tất tiếng Anh, v.v.). Đối với lãnh đạo Khoa, văn bản chỉ nêu rằng Khoa/Phòng liên quan có ý kiến trình Hiệu trưởng xem xét, quyết định; không nêu điều kiện riêng dành cho thư khen của Khoa.",False,high,"[""ccv0:614a7c8cd8ef:p1:o65:58ee8a9410b9eee6"", ""ccv0:495026b3bab3:p32:o1272:b8536cbaf64a7ed0"", ""ccv0:71751eb4fa8c:p23:o1683:934842f501ed3a48""]","[""ccv0:614a7c8cd8ef:p1:o65:58ee8a9410b9eee6"", ""ccv0:495026b3bab3:p32:o1272:b8536cbaf64a7ed0"", ""ccv0:72996278ee10:p35:o682:bd9bff42483cd2ab"", ""ccv0:495026b3bab3:p31:o3:934842f501ed3a48"", ""ccv0:71751eb4fa8c:p23:o1683:934842f501ed3a48""]",True,True,,,,,,
P016,multi_evidence,"Với sinh viên khóa trước 2015, điểm tập sự nghề nghiệp được tính và xét đạt ra sao, đồng thời điểm doanh nghiệp phải chiếm tối thiểu bao nhiêu?",Chưa tìm thấy căn cứ đầy đủ trong Evidence để xác định mức doanh nghiệp phải đóng tối thiểu cho sinh viên khóa trước 2015.,True,low,"[""ccv0:7917442dc147:p5-6:o657:6cf6a9cfeff89e42""]","[""ccv0:7917442dc147:p5-6:o657:6cf6a9cfeff89e42""]",True,True,,,,,,
P017,multi_evidence,"Sinh viên muốn chuyển đổi tín chỉ thì phải nộp đơn lúc nào, và tối đa được công nhận bao nhiêu phần trăm chương trình?",Cần nộp đơn đề nghị chuyển điểm trước ít nhất 2 tuần trước khi bắt đầu học kỳ chính; khối lượng học tập được công nhận không vượt quá 50% khối lượng học tập tối thiểu của chương trình đào tạo.,False,high,"[""ccv0:e381a555c613:p7:o103:93f4a85735939160"", ""ccv0:457e13e9798d:p22:o118:15eec94d152d861b""]","[""ccv0:457e13e9798d:p22:o118:15eec94d152d861b"", ""ccv0:e381a555c613:p4:o1150:0de290e8d1d7cb92"", ""ccv0:e381a555c613:p7:o103:93f4a85735939160""]",True,True,,,,,,
P018,cross_document,Nội quy thi trực tiếp và nội quy thi trực tuyến có áp dụng cho kỳ thi tuyển sinh đầu vào không?,"Nội quy thi trực tiếp và nội quy thi trực tuyến áp dụng cho các kỳ kiểm tra, thi do Trường Đại học Tôn Đức Thắng tổ chức, trừ kỳ thi tuyển sinh đầu vào. Tuy nhiên, các nội quy liên quan đến thi trực tuyến đang được áp dụng cho các kỳ thi do trường tổ chức (không áp dụng cho tuyển sinh đầu vào).",False,high,"[""ccv0:c502c54c946e:p2:o338:20457c9c8af2856b"", ""ccv0:23ef9a769cdc:p7:o1289:83491483227b6ed9""]","[""ccv0:c502c54c946e:p2:o338:20457c9c8af2856b"", ""ccv0:23ef9a769cdc:p7:o1289:83491483227b6ed9""]",True,True,,,,,,
P019,cross_document,Quy chế công tác sinh viên đại học và quy chế quản lý người học sau đại học áp dụng cho những đối tượng nào?,"Quy chế áp dụng đối với người học sau đại học tại Trường Đại học Tôn Đức Thắng và các đơn vị trực thuộc Trường, cùng với các cá nhân có liên quan đến công tác quản lý người học sau đại học.",False,high,"[""ccv0:6f99fd3a61d3:p1:o715:4005c3ca8a15f73e"", ""ccv0:6f99fd3a61d3:p1:o352:90a7e570793f4432"", ""ccv0:6f99fd3a61d3:p7:o1384:cd6f0548974d1b76""]","[""ccv0:6f99fd3a61d3:p1:o715:4005c3ca8a15f73e"", ""ccv0:6f99fd3a61d3:p1:o352:90a7e570793f4432"", ""ccv0:6f99fd3a61d3:p7:o1384:cd6f0548974d1b76""]",True,True,,,,,,
P020,cross_document,"Một học kỳ chính phải đăng ký tối thiểu bao nhiêu tín chỉ, và để xét học bổng thì số tín chỉ đạt tối thiểu là bao nhiêu?","- Học kỳ chính tối thiểu đăng ký 10 tín chỉ. - Để xét học bổng, tối thiểu 15 tín chỉ (hoặc bằng số tín chỉ chuẩn của lộ trình đào tạo).",False,high,"[""ccv0:457e13e9798d:p8:o2:4026dfdb77ef5681"", ""ccv0:71751eb4fa8c:p16:o2271:0f7b9a5349968295"", ""ccv0:495026b3bab3:p18:o925:b8167ece4a56242f""]","[""ccv0:457e13e9798d:p8:o2:4026dfdb77ef5681"", ""ccv0:71751eb4fa8c:p16:o2271:0f7b9a5349968295"", ""ccv0:495026b3bab3:p18:o925:b8167ece4a56242f"", ""ccv0:614a7c8cd8ef:p1:o1528:d38b8be5093ea845""]",True,True,,,,,,
