query_id,query_type,question,answer,insufficient,confidence,citation_chunk_ids,final_evidence_chunk_ids,citation_contract_valid,citations_within_final_evidence,human_correct,human_complete,human_faithful,human_citations_adequate,human_clear,human_notes
P011,terminology_mismatch,"Trong kỳ đi thực tập, phần điểm do công ty chấm phải chiếm ít nhất bao nhiêu phần trăm?",Phần điểm do doanh nghiệp chấm phải chiếm tối thiểu 30% của tổng điểm kỳ thực tập.,False,high,"[""ccv0:c2ef511bad34:p2:o42:d5793d1d52074321""]","[""ccv0:c2ef511bad34:p2:o42:d5793d1d52074321""]",True,True,,,,,,
P012,terminology_mismatch,Bị treo điểm K hay điểm P thì có còn được xét học bổng năm học không?,"- Điểm K: không thuộc diện xét học bổng năm học trong năm học xét học bổng. 
- Điểm P: vẫn được tham gia xét học bổng năm học (trừ năm cuối).",False,high,"[""ccv0:457e13e9798d:p19:o1603:ca7419cc4f32e78c"", ""ccv0:71751eb4fa8c:p16:o1191:f4fb0e98f0e6bbd7"", ""ccv0:72996278ee10:p14:o1370:f4fb0e98f0e6bbd7"", ""ccv0:71751eb4fa8c:p17:o624:f40e62b4c7fd34e5"", ""ccv0:72996278ee10:p15:o1059:0c0af1a20a57c747""]","[""ccv0:457e13e9798d:p19:o1603:ca7419cc4f32e78c"", ""ccv0:71751eb4fa8c:p16:o1191:f4fb0e98f0e6bbd7"", ""ccv0:72996278ee10:p14:o1370:f4fb0e98f0e6bbd7"", ""ccv0:71751eb4fa8c:p17:o624:f40e62b4c7fd34e5"", ""ccv0:72996278ee10:p15:o1059:0c0af1a20a57c747""]",True,True,,,,,,
P013,terminology_mismatch,Có sẵn bằng MOS lúc nhập học thì em được bỏ qua môn Cơ sở tin học luôn không?,"Có thể được miễn học phần Cơ sở tin học hoặc miễn chứng chỉ MOS tùy điều kiện: 
- Nếu đạt điểm học phần Cơ sở tin học > 5, được miễn học phần Cơ sở tin học và được xét đạt chuẩn đầu ra MOS cho học phần tương ứng. 
- Trong quá trình học, nộp chứng chỉ MOS tương ứng được xét miễn đầu ra Cơ sở tin học tương ứng. 
- Nếu có bằng Trung cấp CNTT hoặc văn bằng tương đương được xem xét miễn học phần Cơ sở tin học tương ứng với chương trình (không xét miễn chứng chỉ MOS). 
- Có thể xin miễn chứng chỉ MOS theo thông báo của trường nếu có chứng chỉ MOS hợp lệ (nhưng điều này là miễn chứng chỉ MOS, không phải tự động miễn toàn bộ môn nếu chưa đáp ứng các điều kiện khác).",False,high,"[""ccv0:bf2483e2f33f:p3:o445:c2588ac9f6500270"", ""ccv0:bf2483e2f33f:p3:o1404:20faeddd117e2b73""]","[""ccv0:bf2483e2f33f:p3:o445:c2588ac9f6500270"", ""ccv0:bf2483e2f33f:p3:o1404:20faeddd117e2b73""]",True,True,,,,,,
P014,multi_evidence,"Thí sinh chưa có tiếng Anh B1 quốc tế phải làm gì để đủ điều kiện đầu vào, và trường chấp nhận những chứng chỉ quốc tế nào?","Theo tài liệu: thí sinh chưa đạt trình độ tiếng Anh B1 quốc tế phải dự thi bài thi đánh giá năng lực tiếng Anh đầu vào để được xác nhận đủ điều kiện tiếng Anh theo học chương trình (trừ ngành Ngôn ngữ Anh). Chứng chỉ tiếng Anh tương đương IELTS 5.0 được xem là B1, và IELTS 5.5 trở lên được nêu là điều kiện đủ một số trường hợp xét tuyển. Các chứng chỉ này có thể được dùng để xác nhận đáp ứng điều kiện tiếng Anh tùy từng trường hợp trong tuyển sinh.",False,medium,"[""ccv0:f0d5cdc987b9:p1:o1987:5052f4be6985679e"", ""ccv0:72996278ee10:p7:o138:79b6e4e29be53113""]","[""ccv0:f0d5cdc987b9:p1:o1987:5052f4be6985679e"", ""ccv0:72996278ee10:p7:o138:79b6e4e29be53113"", ""ccv0:495026b3bab3:p24:o467:590fdef8cc414ddd""]",True,True,,,,,,
P015,multi_evidence,Điều kiện nhận thư khen của Hiệu trưởng khác điều kiện nhận thư khen của lãnh đạo Khoa như thế nào?,"Chưa tìm thấy căn cứ đầy đủ trong các đoạn đã cho để phân biệt điều kiện nhận thư khen của Hiệu trưởng với điều kiện nhận thư khen của lãnh đạo Khoa. Các đoạn nêu rằng những trường hợp khác được Khoa/Phân hiệu và Phòng Công tác học sinh - sinh viên đề xuất Hiệu trưởng xem xét, quyết định (không mô tả khác biệt điều kiện giữa hai cấp).",True,low,"[""ccv0:495026b3bab3:p31:o3:934842f501ed3a48"", ""ccv0:71751eb4fa8c:p23:o1683:934842f501ed3a48"", ""ccv0:72996278ee10:p33:o1330:a18b650e9897de94"", ""ccv0:495026b3bab3:p32:o1272:b8536cbaf64a7ed0"", ""ccv0:71751eb4fa8c:p25:o826:b8536cbaf64a7ed0"", ""ccv0:614a7c8cd8ef:p1:o65:58ee8a9410b9eee6""]","[""ccv0:495026b3bab3:p31:o3:934842f501ed3a48"", ""ccv0:71751eb4fa8c:p23:o1683:934842f501ed3a48"", ""ccv0:72996278ee10:p33:o1330:a18b650e9897de94"", ""ccv0:495026b3bab3:p32:o1272:b8536cbaf64a7ed0"", ""ccv0:71751eb4fa8c:p25:o826:b8536cbaf64a7ed0"", ""ccv0:72996278ee10:p35:o682:bd9bff42483cd2ab"", ""ccv0:614a7c8cd8ef:p1:o65:58ee8a9410b9eee6""]",True,True,,,,,,
P016,multi_evidence,"Với sinh viên khóa trước 2015, điểm tập sự nghề nghiệp được tính và xét đạt ra sao, đồng thời điểm doanh nghiệp phải chiếm tối thiểu bao nhiêu?",Chưa có căn cứ đầy đủ trong các đoạn được cung cấp để xác định cách tính và xét đạt cho khóa trước 2015; các thông tin hiện có là quy định chung: doanh nghiệp phải chiếm tối thiểu 30% điểm đánh giá và điểm tập sự nghề nghiệp tối đa 80 điểm (kèm chi tiết thang điểm).,True,low,"[""ccv0:c2ef511bad34:p2:o42:d5793d1d52074321"", ""ccv0:7917442dc147:p5-6:o657:6cf6a9cfeff89e42""]","[""ccv0:c2ef511bad34:p2:o42:d5793d1d52074321"", ""ccv0:7917442dc147:p5-6:o657:6cf6a9cfeff89e42""]",True,True,,,,,,
P017,multi_evidence,"Sinh viên muốn chuyển đổi tín chỉ thì phải nộp đơn lúc nào, và tối đa được công nhận bao nhiêu phần trăm chương trình?","Sinh viên nộp đơn đề nghị công nhận và chuyển đổi tín chỉ đầu mỗi học kỳ; theo quy định, nộp trước khi bắt đầu học kỳ chính ít nhất 2 tuần. Khối lượng tối đa được công nhận và chuyển đổi tín chỉ không vượt quá 50% khối lượng học tập tối thiểu của chương trình đào tạo.",False,high,"[""ccv0:457e13e9798d:p22:o734:3f54980ce4be5582"", ""ccv0:e381a555c613:p7:o103:93f4a85735939160"", ""ccv0:457e13e9798d:p22:o118:15eec94d152d861b""]","[""ccv0:457e13e9798d:p22:o118:15eec94d152d861b"", ""ccv0:e381a555c613:p7:o103:93f4a85735939160"", ""ccv0:457e13e9798d:p22:o734:3f54980ce4be5582"", ""ccv0:457e13e9798d:p12:o1628:36c3eb8b7d6c4afa"", ""ccv0:457e13e9798d:p13:o3:706d9b3dc13a786a"", ""ccv0:e381a555c613:p8-9:o2259:4e8f2a6edc7327ae""]",True,True,,,,,,
P018,cross_document,Nội quy thi trực tiếp và nội quy thi trực tuyến có áp dụng cho kỳ thi tuyển sinh đầu vào không?,Nội quy thi trực tiếp và nội quy thi trực tuyến không áp dụng cho kỳ thi tuyển sinh đầu vào. Các quy định này áp dụng cho các kỳ thi trực tuyến do Trường Đại học Tôn Đức Thắng tổ chức (trừ kỳ thi tuyển sinh đầu vào).,False,high,"[""ccv0:c502c54c946e:p2:o338:20457c9c8af2856b""]","[""ccv0:c502c54c946e:p2:o338:20457c9c8af2856b"", ""ccv0:c502c54c946e:p3:o2076:5066ea0283f0b4eb"", ""ccv0:23ef9a769cdc:p7:o1289:83491483227b6ed9""]",True,True,,,,,,
P019,cross_document,Quy chế công tác sinh viên đại học và quy chế quản lý người học sau đại học áp dụng cho những đối tượng nào?,"Các đối tượng áp dụng là: người học sau đại học tại Trường Đại học Tôn Đức Thắng và các đơn vị trực thuộc Trường, cùng các cá nhân có liên quan đến công tác quản lý người học sau đại học.",False,high,"[""ccv0:6f99fd3a61d3:p1:o715:4005c3ca8a15f73e"", ""ccv0:50922c4b7f40:p1:o665:9af2558514501ad8""]","[""ccv0:6f99fd3a61d3:p1:o715:4005c3ca8a15f73e"", ""ccv0:50922c4b7f40:p1:o665:9af2558514501ad8""]",True,True,,,,,,
P020,cross_document,"Một học kỳ chính phải đăng ký tối thiểu bao nhiêu tín chỉ, và để xét học bổng thì số tín chỉ đạt tối thiểu là bao nhiêu?","- Số tín chỉ tối thiểu cho mỗi học kỳ chính là 10 tín chỉ (trừ học kỳ cuối khóa học và khi thí sinh không đạt trình độ tiếng Anh quy định). 
- Để xét học bổng, số tín chỉ tối thiểu đạt là từ 15 tín chỉ trở lên hoặc bằng số tín chỉ chuẩn của lộ trình đào tạo của học kỳ xét (các trường hợp ngoại lệ do Hội đồng xét học bổng xem xét).",False,high,"[""ccv0:457e13e9798d:p8:o2:4026dfdb77ef5681"", ""ccv0:71751eb4fa8c:p16:o2271:0f7b9a5349968295"", ""ccv0:495026b3bab3:p18:o925:b8167ece4a56242f"", ""ccv0:614a7c8cd8ef:p1:o1528:d38b8be5093ea845"", ""ccv0:72996278ee10:p15:o174:b356aaf0933afc4a""]","[""ccv0:457e13e9798d:p8:o2:4026dfdb77ef5681"", ""ccv0:71751eb4fa8c:p16:o2271:0f7b9a5349968295"", ""ccv0:495026b3bab3:p18:o925:b8167ece4a56242f"", ""ccv0:614a7c8cd8ef:p1:o1528:d38b8be5093ea845"", ""ccv0:72996278ee10:p15:o174:b356aaf0933afc4a""]",True,True,,,,,,
